,date,steps,distance,latitude,longitude
410,20170718,5178,3591.0,33.95853237731105,-118.4369816413345
411,20170719,9097,6505.0,33.95853237731105,-118.4369816413345
412,20170720,10394,6640.0,33.95853237731105,-118.4369816413345
413,20170721,5734,4043.0,33.95853237731105,-118.4369816413345
414,20170722,10102,6847.0,32.754326,-117.12976
415,20170723,6504,4228.0,33.95853237731105,-118.4369816413345
416,20170724,2679,1852.0,33.95853237731105,-118.4369816413345
417,20170725,5488,4008.0,33.95853237731105,-118.4369816413345
418,20170726,4733,3115.0,33.95853237731105,-118.4369816413345
419,20170727,6504,4339.0,33.95853237731105,-118.4369816413345
420,20170728,3108,2298.0,33.95853237731105,-118.4369816413345
421,20170729,7414,4950.0,33.95853237731105,-118.4369816413345
422,20170730,2494,1696.0,33.95853237731105,-118.4369816413345
423,20170731,7177,4992.0,33.95853237731105,-118.4369816413345
424,20170801,8122,5561.0,33.95853237731105,-118.4369816413345
425,20170802,6020,4560.0,33.95853237731105,-118.4369816413345
426,20170803,7214,5230.0,33.95853237731105,-118.4369816413345
427,20170804,5757,4306.0,33.95853237731105,-118.4369816413345
428,20170805,4646,2913.0,33.34313,-111.93977
429,20170806,4217,3048.0,33.34313,-111.93977
430,20170807,6310,4370.0,33.95853237731105,-118.4369816413345
431,20170808,7531,5238.0,33.95853237731105,-118.4369816413345
432,20170809,2972,1860.0,33.95853237731105,-118.4369816413345
433,20170810,7477,4853.0,33.95853237731105,-118.4369816413345
434,20170811,6511,4503.0,33.95853237731105,-118.4369816413345
435,20170812,3130,2295.0,33.95853237731105,-118.4369816413345
436,20170813,4375,2868.0,33.95853237731105,-118.4369816413345
437,20170814,3744,2366.0,33.95853237731105,-118.4369816413345
438,20170815,6034,4281.0,33.95853237731105,-118.4369816413345
439,20170816,6059,4481.0,33.95853237731105,-118.4369816413345
440,20170817,4660,3137.0,33.95853237731105,-118.4369816413345
441,20170818,6326,4398.0,33.95853237731105,-118.4369816413345
442,20170819,15627,10403.0,33.95853237731105,-118.4369816413345
443,20170820,4346,2874.0,33.95853237731105,-118.4369816413345
444,20170821,6432,4316.0,33.95853237731105,-118.4369816413345
445,20170822,4720,3461.0,33.95853237731105,-118.4369816413345
446,20170823,5363,4522.0,33.95853237731105,-118.4369816413345
447,20170824,8535,5734.0,45.5035858536,-122.6162597677
448,20170825,4778,3109.0,45.5035858536,-122.6162597677
449,20170826,6520,4361.0,45.5035858536,-122.6162597677
450,20170827,4403,3026.0,45.44538,-122.74628
451,20170828,6992,4937.0,45.44538,-122.74628
452,20170829,4153,3294.0,33.95853237731105,-118.4369816413345
453,20170830,5954,4100.0,33.95853237731105,-118.4369816413345
454,20170831,6408,4632.0,33.95853237731105,-118.4369816413345
455,20170901,3664,2577.0,33.95853237731105,-118.4369816413345
456,20170902,2937,2033.0,33.95853237731105,-118.4369816413345
457,20170903,4449,2947.0,33.95853237731105,-118.4369816413345
458,20170904,7294,5034.0,33.95853237731105,-118.4369816413345
459,20170905,5209,3773.0,33.95853237731105,-118.4369816413345
460,20170906,6528,4472.0,33.95853237731105,-118.4369816413345
461,20170907,6277,4250.0,33.95853237731105,-118.4369816413345
462,20170908,6433,4642.0,33.95853237731105,-118.4369816413345
463,20170909,6605,4511.0,33.95853237731105,-118.4369816413345
464,20170910,3192,2198.0,33.95853237731105,-118.4369816413345
465,20170911,4390,2953.0,33.95853237731105,-118.4369816413345
466,20170915,2490,1775.0,33.95853237731105,-118.4369816413345
467,20170916,3787,2676.0,33.95853237731105,-118.4369816413345
468,20170917,5574,3782.0,33.95853237731105,-118.4369816413345
469,20170918,5060,3485.0,33.95853237731105,-118.4369816413345
470,20170919,2656,1879.0,33.95853237731105,-118.4369816413345
471,20170920,1785,6861.0,33.95853237731105,-118.4369816413345
472,20170921,5328,3672.0,33.95853237731105,-118.4369816413345
473,20170922,2643,2865.0,33.95853237731105,-118.4369816413345
474,20170923,8151,6011.0,33.95853237731105,-118.4369816413345
475,20170924,1615,952.0,33.95853237731105,-118.4369816413345
476,20171004,64,31.0,33.95853237731105,-118.4369816413345
477,20171005,5599,6588.0,33.888709,-118.39585
478,20171006,741,1060.0,32.8655,-117.222
479,20171007,10737,6923.0,33.95853237731105,-118.4369816413345
480,20171008,6420,4392.0,21.872231,-159.44806
481,20171009,15330,9256.0,21.872231,-159.44806
